DTXSID,PREFERRED_NAME,CASRN,INCHIKEY,IUPAC_NAME,SMILES,INCHI_STRING,MOLECULAR_FORMULA,AVERAGE_MASS,MONOISOTOPIC_MASS,DATA_SOURCES,NUMBER_OF_PUBMED_ARTICLES,PUBCHEM_DATA_SOURCES,CPDAT_COUNT
DTXSID0047539,"Hexane-1,6-diyl dibenzoate",22915-73-7,TYTTZVDFWCBYPG-UHFFFAOYSA-N,"Hexane-1,6-diyl dibenzoate",O=C(OCCCCCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,"InChI=1S/C20H22O4/c21-19(17-11-5-3-6-12-17)23-15-9-1-2-10-16-24-20(22)18-13-7-4-8-14-18/h3-8,11-14H,1-2,9-10,15-16H2",C20H22O4,326.392,326.1518092,23,-,31,-
DTXSID0047581,Pentyl hexanoate,540-07-8,WRFZKAGPPQGDDQ-UHFFFAOYSA-N,Pentyl hexanoate,CCCCCOC(=O)CCCCC,"InChI=1S/C11H22O2/c1-3-5-7-9-11(12)13-10-8-6-4-2/h3-10H2,1-2H3",C11H22O2,186.295,186.1619799,42,-,59,6
DTXSID0047585,(3Z)-Hex-3-en-1-yl 2-methylpropanoate,41519-23-7,OSMAJVWUIUORGC-WAYWQWQTSA-N,(3Z)-Hex-3-en-1-yl 2-methylpropanoate,CC\C=C/CCOC(=O)C(C)C,"InChI=1S/C10H18O2/c1-4-5-6-7-8-12-10(11)9(2)3/h5-6,9H,4,7-8H2,1-3H3/b6-5-",C10H18O2,170.252,170.1306798,33,-,40,4
DTXSID0047587,(6Z)-Non-6-en-1-ol,35854-86-5,XJHRZBIBSSVCEL-ARJAWSKDSA-N,(6Z)-Non-6-en-1-ol,CC\C=C/CCCCCO,"InChI=1S/C9H18O/c1-2-3-4-5-6-7-8-9-10/h3-4,10H,2,5-9H2,1H3/b4-3-",C9H18O,142.242,142.1357652,30,-,40,4
DTXSID0047589,6-Pentyl-2H-pyran-2-one,27593-23-3,MAUFTTLGOUBZNA-UHFFFAOYSA-N,6-Pentyl-2H-pyran-2-one,CCCCCC1=CC=CC(=O)O1,"InChI=1S/C10H14O2/c1-2-3-4-6-9-7-5-8-10(11)12-9/h5,7-8H,2-4,6H2,1H3",C10H14O2,166.22,166.0993797,39,15,62,7
DTXSID0047610,3-Phenylpropanal,104-53-0,YGCZTXZTJXYWCO-UHFFFAOYSA-N,3-Phenylpropanal,O=CCCC1=CC=CC=C1,"InChI=1S/C9H10O/c10-8-4-7-9-5-2-1-3-6-9/h1-3,5-6,8H,4,7H2",C9H10O,134.178,134.0731649,51,8,105,11
DTXSID0047614,"(2E)-3,7-Dimethylocta-2,6-dien-1-yl formate",105-86-2,FQMZVFJYMPNUCT-YRNVUSSQSA-N,"(2E)-3,7-Dimethylocta-2,6-dien-1-yl formate",CC(C)=CCC\C(C)=C\COC=O,"InChI=1S/C11H18O2/c1-10(2)5-4-6-11(3)7-8-13-9-12/h5,7,9H,4,6,8H2,1-3H3/b11-7+",C11H18O2,182.263,182.1306798,37,1,57,47
DTXSID0047618,4-Pentanolide,108-29-2,GAEKPEKOJKCEMS-UHFFFAOYSA-N,5-Methyloxolan-2-one,CC1CCC(=O)O1,"InChI=1/C5H8O2/c1-4-2-3-5(6)7-4/h4H,2-3H2,1H3",C5H8O2,100.117,100.0524295,47,59,86,7
DTXSID0047660,"3,5-Dimethyl-1,2-cyclopentanedione",13494-07-0,MIDXCONKKJTLDX-UHFFFAOYSA-N,"3,5-Dimethylcyclopentane-1,2-dione",CC1CC(C)C(=O)C1=O,"InChI=1/C7H10O2/c1-4-3-5(2)7(9)6(4)8/h4-5H,3H2,1-2H3",C7H10O2,126.155,126.0680796,27,-,44,6
DTXSID0047662,Iprovalicarb,140923-17-7,NWUWYYSKZYIQAE-WMCAAGNKSA-N,Propan-2-yl [(2S)-3-methyl-1-{[1-(4-methylphenyl)ethyl]amino}-1-oxobutan-2-yl]carbamate,CC(C)OC(=O)N[C@@H](C(C)C)C(=O)NC(C)C1=CC=C(C)C=C1,"InChI=1S/C18H28N2O3/c1-11(2)16(20-18(22)23-12(3)4)17(21)19-14(6)15-9-7-13(5)8-10-15/h7-12,14,16H,1-6H3,(H,19,21)(H,20,22)/t14?,16-/m0/s1",C18H28N2O3,320.433,320.2099928,45,6,18,28
DTXSID0047741,Dibenzothiophene,132-65-0,IYYZUPMFVPLQIF-UHFFFAOYSA-N,"Dibenzo[b,d]thiophene",S1C2=C(C=CC=C2)C2=C1C=CC=C2,InChI=1S/C12H8S/c1-3-7-11-9(5-1)10-6-2-4-8-12(10)13-11/h1-8H,C12H8S,184.26,184.0346714,68,265,161,6
DTXSID0047745,2-Fluorophenol,367-12-4,HFHFGHLXUCOHLN-UHFFFAOYSA-N,2-Fluorophenol,OC1=C(F)C=CC=C1,"InChI=1S/C6H5FO/c7-5-3-1-2-4-6(5)8/h1-4,8H",C6H5FO,112.103,112.0324429,48,16,114,1
DTXSID0047749,Methylcyclohexane,108-87-2,UAEPNZWRGJTJPN-UHFFFAOYSA-N,Methylcyclohexane,CC1CCCCC1,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3",C7H14,98.189,98.10955045,73,25,130,103
DTXSID0047797,Idarubicin hydrochloride,57852-57-0,JVHPTYWUBOQMBP-RVFAQHLVSA-N,"(1S,3S)-3-Acetyl-3,5,12-trihydroxy-6,11-dioxo-1,2,3,4,6,11-hexahydrotetracen-1-yl 3-amino-2,3,6-trideoxy-alpha-L-lyxo-hexopyranoside--hydrogen chloride (1/1)",Cl.C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]1C[C@@](O)(CC2=C(O)C3=C(C(O)=C12)C(=O)C1=C(C=CC=C1)C3=O)C(C)=O,"InChI=1S/C26H27NO9.ClH/c1-10-21(29)15(27)7-17(35-10)36-16-9-26(34,11(2)28)8-14-18(16)25(33)20-19(24(14)32)22(30)12-5-3-4-6-13(12)23(20)31;/h3-6,10,15-17,21,29,32-34H,7-9,27H2,1-2H3;1H/t10-,15-,16-,17-,21+,26-;/m0./s1",C26H28ClNO9,533.96,533.1452592,22,1524,54,7
DTXSID0047799,"3-(Octadecyloxy)-1,2-propanediol",544-62-7,OGBUMNBNEWYMNJ-UHFFFAOYSA-N,"3-(Octadecyloxy)propane-1,2-diol",CCCCCCCCCCCCCCCCCCOCC(O)CO,"InChI=1/C21H44O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-24-20-21(23)19-22/h21-23H,2-20H2,1H3",C21H44O3,344.58,344.3290453,25,33,98,10
DTXSID0047820,Cifenline succinate,100678-32-8,XFUIOIWYMHEPIE-UHFFFAOYSA-N,"Butanedioic acid--2-(2,2-diphenylcyclopropyl)-4,5-dihydro-1H-imidazole (1/1)",OC(=O)CCC(O)=O.C1C(C2=NCCN2)C1(C1=CC=CC=C1)C1=CC=CC=C1,"InChI=1/C18H18N2.C4H6O4/c1-3-7-14(8-4-1)18(15-9-5-2-6-10-15)13-16(18)17-19-11-12-20-17;5-3(6)1-2-4(7)8/h1-10,16H,11-13H2,(H,19,20);1-2H2,(H,5,6)(H,7,8)",C22H24N2O4,380.444,380.1736073,19,274,35,-
DTXSID0047822,Phenmetrazine hydrochloride,1707-14-8,VJNXVAVKCZJOFQ-UHFFFAOYSA-N,3-Methyl-2-phenylmorpholine--hydrogen chloride (1/1),Cl.CC1NCCOC1C1=CC=CC=C1,"InChI=1/C11H15NO.ClH/c1-9-11(13-8-7-12-9)10-5-3-2-4-6-10;/h2-6,9,11-12H,7-8H2,1H3;1H",C11H16ClNO,213.71,213.0920418,20,478,26,-
DTXSID0047828,Carbinoxamine maleate,3505-38-2,GVNWHCVWDRNXAZ-BTJKTKAUSA-N,"(2Z)-But-2-enedioic acid--2-[(4-chlorophenyl)(pyridin-2-yl)methoxy]-N,N-dimethylethan-1-amine (1/1)",OC(=O)\C=C/C(O)=O.CN(C)CCOC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1,"InChI=1/C16H19ClN2O.C4H4O4/c1-19(2)11-12-20-16(15-5-3-4-10-18-15)13-6-8-14(17)9-7-13;5-3(6)1-2-4(7)8/h3-10,16H,11-12H2,1-2H3;1-2H,(H,5,6)(H,7,8)/b;2-1-",C20H23ClN2O5,406.86,406.1295495,20,27,53,4
DTXSID0047870,Tributylmethylphosphonium methyl sulfate,69056-62-8,JMXOUHNHEFFQIW-UHFFFAOYSA-M,Tributyl(methyl)phosphanium methyl sulfate,COS([O-])(=O)=O.CCCC[P+](C)(CCCC)CCCC,"InChI=1S/C13H30P.CH4O4S/c1-5-8-11-14(4,12-9-6-2)13-10-7-3;1-5-6(2,3)4/h5-13H2,1-4H3;1H3,(H,2,3,4)/q+1;/p-1",C14H33O4PS,328.45,328.1837177,10,-,15,-
DTXSID0047872,1-(2-Hydroxyethyl)-3-methylimidazolium chloride,61755-34-8,QVRFXIWAQRNWEX-UHFFFAOYSA-M,1-(2-Hydroxyethyl)-3-methyl-1H-imidazol-3-ium chloride,[Cl-].C[N+]1=CN(CCO)C=C1,"InChI=1S/C6H11N2O.ClH/c1-7-2-3-8(6-7)4-5-9;/h2-3,6,9H,4-5H2,1H3;1H/q+1;/p-1",C6H11ClN2O,162.62,162.0559907,10,-,16,-
DTXSID0047874,Methyl triclosan,4640-01-1,NLYDHBBTVWMLFD-UHFFFAOYSA-N,"2,4-Dichloro-1-(4-chloro-2-methoxyphenoxy)benzene",COC1=C(OC2=CC=C(Cl)C=C2Cl)C=CC(Cl)=C1,"InChI=1S/C13H9Cl3O2/c1-17-13-7-9(15)3-5-12(13)18-11-4-2-8(14)6-10(11)16/h2-7H,1H3",C13H9Cl3O2,303.56,301.9668126,24,32,32,-
DTXSID0047876,(-)-Enterodiol,80226-00-2,DWONJCNDULPHLV-HOTGVXAUSA-N,"(2R,3R)-2,3-Bis[(3-hydroxyphenyl)methyl]butane-1,4-diol",OC[C@H](CC1=CC(O)=CC=C1)[C@H](CO)CC1=CC=CC(O)=C1,"InChI=1S/C18H22O4/c19-11-15(7-13-3-1-5-17(21)9-13)16(12-20)8-14-4-2-6-18(22)10-14/h1-6,9-10,15-16,19-22H,7-8,11-12H2/t15-,16-/m0/s1",C18H22O4,302.37,302.1518092,19,108,29,-
DTXSID0047878,Hydrastinine hydrochloride,4884-68-8,DLNQCQJCIITVHC-UHFFFAOYSA-N,"6-Methyl-5,6,7,8-tetrahydro-2H-[1,3]dioxolo[4,5-g]isoquinolin-5-ol--hydrogen chloride (1/1)",Cl.CN1CCC2=CC3=C(OCO3)C=C2C1O,"InChI=1/C11H13NO3.ClH/c1-12-3-2-7-4-9-10(15-6-14-9)5-8(7)11(12)13;/h4-5,11,13H,2-3,6H2,1H3;1H",C11H14ClNO3,243.69,243.066221,16,7,31,-
DTXSID0047901,Ethylammonium nitrate,22113-86-6,NWMKOQWBSZQAMG-UHFFFAOYSA-N,Nitric acid--ethanamine (1/1),CCN.O[N+]([O-])=O,"InChI=1S/C2H7N.HNO3/c1-2-3;2-1(3)4/h2-3H2,1H3;(H,2,3,4)",C2H8N2O3,108.097,108.0534921,16,32,17,-
DTXSID0047903,Dimethylammonium nitrate,30781-73-8,KTAFYYQZWVSKCK-UHFFFAOYSA-N,Nitric acid--N-methylmethanamine (1/1),CNC.O[N+]([O-])=O,"InChI=1S/C2H7N.HNO3/c1-3-2;2-1(3)4/h3H,1-2H3;(H,2,3,4)",C2H8N2O3,108.097,108.0534921,15,272,11,-
DTXSID0047905,Tributylmethylammonium bis(trifluoromethylsulfonyl)imde,405514-94-5,XALVHDZWUBSWES-UHFFFAOYSA-N,"N,N-Dibutyl-N-methylbutan-1-aminium bis(trifluoromethanesulfonyl)azanide",CCCC[N+](C)(CCCC)CCCC.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"InChI=1S/C13H30N.C2F6NO4S2/c1-5-8-11-14(4,12-9-6-2)13-10-7-3;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h5-13H2,1-4H3;/q+1;-1",C15H30F6N2O4S2,480.53,480.1551188,14,1,19,-
DTXSID0047907,"1-Butyl-2,3-dimethylimidazolium hexafluorophosphate",227617-70-1,JWFPQAXAGSAKRF-UHFFFAOYSA-N,"1-Butyl-2,3-dimethyl-1H-imidazol-3-ium hexafluoridophosphate(1-)",F[P-](F)(F)(F)(F)F.CCCCN1C=C[N+](C)=C1C,"InChI=1S/C9H17N2.F6P/c1-4-5-6-11-8-7-10(3)9(11)2;1-7(2,3,4,5)6/h7-8H,4-6H2,1-3H3;/q+1;-1",C9H17F6N2P,298.213,298.1033545,10,-,48,-
DTXSID0047909,"1-Butyl-2,3-dimethylimidazolium tetrafluoroborate",402846-78-0,VCAIYEJBOWHUGP-UHFFFAOYSA-N,"1-Butyl-2,3-dimethyl-1H-imidazol-3-ium tetrafluoridoborate(1-)",F[B-](F)(F)F.CCCCN1C=C[N+](C)=C1C,"InChI=1S/C9H17N2.BF4/c1-4-5-6-11-8-7-10(3)9(11)2;2-1(3,4)5/h7-8H,4-6H2,1-3H3;/q+1;-1",C9H17BF4N2,240.05,240.142091,10,-,46,-
DTXSID0047951,1-Hexyl-3-methylimidazolium iodide,178631-05-5,CZIUVCSYOGFUPH-UHFFFAOYSA-M,1-Hexyl-3-methyl-1H-imidazol-3-ium iodide,[I-].CCCCCCN1C=C[N+](C)=C1,"InChI=1S/C10H19N2.HI/c1-3-4-5-6-7-12-9-8-11(2)10-12;/h8-10H,3-7H2,1-2H3;1H/q+1;/p-1",C10H19IN2,294.18,294.05929,10,-,25,-
DTXSID0047953,Trihexyltetradecylphosphonium bromide,654057-97-3,RJELOMHXBLDMDB-UHFFFAOYSA-M,Trihexyl(tetradecyl)phosphanium bromide,[Br-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,"InChI=1S/C32H68P.BrH/c1-5-9-13-17-18-19-20-21-22-23-24-28-32-33(29-25-14-10-6-2,30-26-15-11-7-3)31-27-16-12-8-4;/h5-32H2,1-4H3;1H/q+1;/p-1",C32H68BrP,563.774,562.424202,10,-,17,-
DTXSID0047955,1-Methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,178631-04-4,LECQXINNQGHJBM-UHFFFAOYSA-N,3-Methyl-1-octyl-1H-imidazol-3-ium bis(trifluoromethanesulfonyl)azanide,CCCCCCCCN1C=C[N+](C)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"InChI=1S/C12H23N2.C2F6NO4S2/c1-3-4-5-6-7-8-9-14-11-10-13(2)12-14;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h10-12H,3-9H2,1-2H3;/q+1;-1",C14H23F6N3O4S2,475.47,475.1034176,14,4,12,-
DTXSID0047957,Octylparaben,1219-38-1,RIKCMEDSBFQFAL-UHFFFAOYSA-N,Octyl 4-hydroxybenzoate,CCCCCCCCOC(=O)C1=CC=C(O)C=C1,"InChI=1S/C15H22O3/c1-2-3-4-5-6-7-12-18-15(17)13-8-10-14(16)11-9-13/h8-11,16H,2-7,12H2,1H3",C15H22O3,250.338,250.1568946,31,-,51,1
DTXSID0047959,"2,4-Dichlorobenzotrifluoride",320-60-5,KALSHRGEFLVFHE-UHFFFAOYSA-N,"2,4-Dichloro-1-(trifluoromethyl)benzene",FC(F)(F)C1=CC=C(Cl)C=C1Cl,"InChI=1S/C7H3Cl2F3/c8-4-1-2-5(6(9)3-4)7(10,11)12/h1-3H",C7H3Cl2F3,215,213.95639,34,-,77,-
DTXSID0048181,4-tert-Butylaniline,769-92-6,WRDWWAVNELMWAM-UHFFFAOYSA-N,4-tert-Butylaniline,CC(C)(C)C1=CC=C(N)C=C1,"InChI=1S/C10H15N/c1-10(2,3)8-4-6-9(11)7-5-8/h4-7H,11H2,1-3H3",C10H15N,149.237,149.1204495,33,-,90,-
DTXSID0048183,Enterolactone,78473-71-9,HVDGDHBAMCBBLR-WMLDXEAASA-N,"(3R,4R)-3,4-Bis[(3-hydroxyphenyl)methyl]oxolan-2-one",OC1=CC(C[C@H]2COC(=O)[C@@H]2CC2=CC(O)=CC=C2)=CC=C1,"InChI=1S/C18H18O4/c19-15-5-1-3-12(8-15)7-14-11-22-18(21)17(14)10-13-4-2-6-16(20)9-13/h1-6,8-9,14,17,19-20H,7,10-11H2/t14-,17+/m0/s1",C18H18O4,298.338,298.1205091,29,255,22,-
DTXSID0048185,Apomorphine hydrochloride hydrate,41372-20-7,CXWQXGNFZLHLHQ-DPFCLETOSA-N,"(6aR)-6-Methyl-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline-10,11-diol--hydrogen chloride--water (2/2/1)",O.Cl.Cl.CN1CCC2=CC=CC3=C2[C@H]1CC1=C3C(O)=C(O)C=C1.CN1CCC2=CC=CC3=C2[C@H]1CC1=C3C(O)=C(O)C=C1,"InChI=1S/2C17H17NO2.2ClH.H2O/c2*1-18-8-7-10-3-2-4-12-15(10)13(18)9-11-5-6-14(19)17(20)16(11)12;;;/h2*2-6,13,19-20H,7-9H2,1H3;2*1H;1H2/t2*13-;;;/m11.../s1",C34H38Cl2N2O5,625.59,624.2157777,29,-,21,-
DTXSID0048187,1-Methoxy-4-tert-pentylcyclohexane,199584-38-8,AJULSUVNFQEPHC-UHFFFAOYSA-N,1-Methoxy-4-(2-methylbutan-2-yl)cyclohexane,CCC(C)(C)C1CCC(CC1)OC,"InChI=1S/C12H24O/c1-5-12(2,3)10-6-8-11(13-4)9-7-10/h10-11H,5-9H2,1-4H3",C12H24O,184.323,184.1827154,19,-,16,-
DTXSID0048189,Lauryl gallate,1166-52-5,RPWFJAMTCNSJKK-UHFFFAOYSA-N,"Dodecyl 3,4,5-trihydroxybenzoate",CCCCCCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1,"InChI=1S/C19H30O5/c1-2-3-4-5-6-7-8-9-10-11-12-24-19(23)15-13-16(20)18(22)17(21)14-15/h13-14,20-22H,2-12H2,1H3",C19H30O5,338.444,338.2093241,51,43,73,7
DTXSID0048210,Phenyl benzoate,93-99-2,FCJSHPDYVMKCHI-UHFFFAOYSA-N,Phenyl benzoate,O=C(OC1=CC=CC=C1)C1=CC=CC=C1,InChI=1S/C13H10O2/c14-13(11-7-3-1-4-8-11)15-12-9-5-2-6-10-12/h1-10H,C13H10O2,198.221,198.0680796,53,4,88,10
DTXSID0048349,Argipressin,113-79-1,KBZOIRJILGZLEJ-LGYYRGKSSA-N,"1-{(4R,7S,10S,13S,16S,19R)-19-Amino-7-(2-amino-2-oxoethyl)-10-(3-amino-3-oxopropyl)-13-benzyl-16-[(4-hydroxyphenyl)methyl]-6,9,12,15,18-pentaoxo-1,2-dithia-5,8,11,14,17-pentaazacycloicosane-4-carbonyl}-L-prolyl-L-arginylglycinamide",N[C@H]1CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(N)=O,"InChI=1S/C46H65N15O12S2/c47-27-22-74-75-23-33(45(73)61-17-5-9-34(61)44(72)56-28(8-4-16-53-46(51)52)39(67)54-21-37(50)65)60-43(71)32(20-36(49)64)59-40(68)29(14-15-35(48)63)55-41(69)31(18-24-6-2-1-3-7-24)58-42(70)30(57-38(27)66)19-25-10-12-26(62)13-11-25/h1-3,6-7,10-13,27-34,62H,4-5,8-9,14-23,47H2,(H2,48,63)(H2,49,64)(H2,50,65)(H,54,67)(H,55,69)(H,56,72)(H,57,66)(H,58,70)(H,59,68)(H,60,71)(H4,51,52,53)/t27-,28-,29-,30-,31-,32-,33-,34-/m0/s1",C46H65N15O12S2,1084.24,1083.437855,18,32595,35,3
DTXSID0048505,PharmaGSID_48505,NOCAS_48505,UVLBAPBHAHFJSY-UHFFFAOYSA-N,"5-(2-Chlorophenyl)-3-methyl-7-nitro-2,10-dihydropyrazolo[3,4-b][1,4]benzodiazepine",CC1=C2N=C(C3=CC=CC=C3Cl)C3=C(NC2=NN1)C=CC(=C3)[N+]([O-])=O,"InChI=1S/C17H12ClN5O2/c1-9-15-17(22-21-9)19-14-7-6-10(23(24)25)8-12(14)16(20-15)11-4-2-3-5-13(11)18/h2-8H,1H3,(H2,19,21,22)",C17H12ClN5O2,353.77,353.0679523,19,-,11,-
DTXSID0048507,PharmaGSID_48507,NOCAS_48507,NABQUWRBLWGYTM-UHFFFAOYSA-N,"5-(2,4-Difluorophenoxy)-2-[(2-hydroxy-2-methylpropyl)amino]-8-methylpyrido[2,3-d]pyrimidin-7(8H)-one--hydrogen chloride (1/1)",Cl.CN1C(=O)C=C(OC2=C(F)C=C(F)C=C2)C2=C1N=C(NCC(C)(C)O)N=C2,"InChI=1S/C18H18F2N4O3.ClH/c1-18(2,26)9-22-17-21-8-11-14(7-15(25)24(3)16(11)23-17)27-13-5-4-10(19)6-12(13)20;/h4-8,26H,9H2,1-3H3,(H,21,22,23);1H",C18H19ClF2N4O3,412.82,412.1113745,15,-,4,-
DTXSID0048509,PharmaGSID_48509,NOCAS_48509,KTAULCNFQYFKTN-HSZRJFAPSA-N,"(4-{[(2R)-7-Methoxy-1,2,3,4-tetrahydronaphthalen-2-yl](propyl)amino}piperidin-1-yl)(piperidin-4-yl)methanone",CCCN(C1CCN(CC1)C(=O)C1CCNCC1)[C@@H]1CCC2=C(C1)C=C(OC)C=C2,"InChI=1S/C25H39N3O2/c1-3-14-28(23-6-4-19-5-7-24(30-2)18-21(19)17-23)22-10-15-27(16-11-22)25(29)20-8-12-26-13-9-20/h5,7,18,20,22-23,26H,3-4,6,8-17H2,1-2H3/t23-/m1/s1",C25H39N3O2,413.606,413.3042275,16,-,11,-
DTXSID0048630,Sevelamer hydrochloride,152751-57-0,-,-,-,-,-,-,-,12,-,-,-
DTXSID0048632,l-Oxyfedrine hydrochloride,16777-42-7,JMUPNNYLJGSMPK-JPJJPTBZSA-N,"3-{[(1R,2S)-1-Hydroxy-1-phenylpropan-2-yl]amino}-1-(3-methoxyphenyl)propan-1-one--hydrogen chloride (1/1)",Cl.COC1=CC=CC(=C1)C(=O)CCN[C@@H](C)[C@H](O)C1=CC=CC=C1,"InChI=1S/C19H23NO3.ClH/c1-14(19(22)15-7-4-3-5-8-15)20-12-11-18(21)16-9-6-10-17(13-16)23-2;/h3-10,13-14,19-20,22H,11-12H2,1-2H3;1H/t14-,19-;/m0./s1",C19H24ClNO3,349.86,349.1444713,18,152,24,-
DTXSID0048634,Triamcinolone hexacetonide,5611-51-8,TZIZWYVVGLXXFV-FLRHRWPCSA-N,"2-[(4aS,4bR,5S,6aS,6bS,9aR,10aS,10bS)-4b-Fluoro-5-hydroxy-4a,6a,8,8-tetramethyl-2-oxo-2,4a,4b,5,6,6a,9a,10,10a,10b,11,12-dodecahydro-6bH,8H-naphtho[2',1':4,5]indeno[1,2-d][1,3]dioxol-6b-yl]-2-oxoethyl 3,3-dimethylbutanoate",CC(C)(C)CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]21C,"InChI=1S/C30H41FO7/c1-25(2,3)15-24(35)36-16-22(34)30-23(37-26(4,5)38-30)13-20-19-9-8-17-12-18(32)10-11-27(17,6)29(19,31)21(33)14-28(20,30)7/h10-12,19-21,23,33H,8-9,13-16H2,1-7H3/t19-,20-,21-,23+,27-,28-,29-,30+/m0/s1",C30H41FO7,532.649,532.2836318,27,201,29,6
DTXSID0048636,Gefarnate,51-77-4,ZPACYDRSPFRDHO-ROBAGEODSA-N,"(2E)-3,7-Dimethylocta-2,6-dien-1-yl (4E,8E)-5,9,13-trimethyltetradeca-4,8,12-trienoate",CC(C)=CCC\C(C)=C\CC\C(C)=C\CCC(=O)OC\C=C(/C)CCC=C(C)C,"InChI=1S/C27H44O2/c1-22(2)12-8-14-24(5)16-10-17-25(6)18-11-19-27(28)29-21-20-26(7)15-9-13-23(3)4/h12-13,16,18,20H,8-11,14-15,17,19,21H2,1-7H3/b24-16+,25-18+,26-20+",C27H44O2,400.647,400.3341307,25,54,48,2
DTXSID0048638,Nepafenac,78281-72-8,QEFAQIPZVLVERP-UHFFFAOYSA-N,2-(2-Amino-3-benzoylphenyl)acetamide,NC(=O)CC1=C(N)C(=CC=C1)C(=O)C1=CC=CC=C1,"InChI=1S/C15H14N2O2/c16-13(18)9-11-7-4-8-12(14(11)17)15(19)10-5-2-1-3-6-10/h1-8H,9,17H2,(H2,16,18)",C15H14N2O2,254.289,254.1055277,23,75,85,8
DTXSID0048680,"3,5-Diiodo-L-tyrosine",300-39-0,NYPYHUZRZVSYKL-ZETCQYMHSA-N,"3,5-Diiodo-L-tyrosine",N[C@@H](CC1=CC(I)=C(O)C(I)=C1)C(O)=O,"InChI=1S/C9H9I2NO3/c10-5-1-4(2-6(11)8(5)13)3-7(12)9(14)15/h1-2,7,13H,3,12H2,(H,14,15)/t7-/m0/s1",C9H9I2NO3,432.984,432.86718,28,872,84,4
DTXSID0048682,Octreotide,83150-76-9,DEQANNDTNATYII-RRCPSWKPSA-N,"(4R,7S,10S,13R,16S,19R)-10-(4-Aminobutyl)-16-benzyl-N-[(2R,3R)-1,3-dihydroxybutan-2-yl]-7-(1-hydroxyethyl)-13-[(1H-indol-3-yl)methyl]-6,9,12,15,18-pentaoxo-19-(D-phenylalanylamino)-1,2-dithia-5,8,11,14,17-pentaazacycloicosane-4-carboxamide",C[C@@H](O)[C@@H](CO)NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@H](N)CC2=CC=CC=C2)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@H](CC2=CNC3=C2C=CC=C3)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)O)C(=O)N1,"InChI=1S/C49H66N10O10S2/c1-28(61)39(25-60)56-48(68)41-27-71-70-26-40(57-43(63)34(51)21-30-13-5-3-6-14-30)47(67)54-37(22-31-15-7-4-8-16-31)45(65)55-38(23-32-24-52-35-18-10-9-17-33(32)35)46(66)53-36(19-11-12-20-50)44(64)59-42(29(2)62)49(69)58-41/h3-10,13-18,24,28-29,34,36-42,52,60-62H,11-12,19-23,25-27,50-51H2,1-2H3,(H,53,66)(H,54,67)(H,55,65)(H,56,68)(H,57,63)(H,58,69)(H,59,64)/t28-,29?,34-,36+,37+,38-,39-,40+,41+,42+/m1/s1",C49H66N10O10S2,1019.25,1018.440481,20,6830,12,15
DTXSID0048684,Cloflucarban,369-77-7,ZFSXZJXLKAJIGS-UHFFFAOYSA-N,N-(4-Chlorophenyl)-N'-[4-chloro-3-(trifluoromethyl)phenyl]urea,FC(F)(F)C1=C(Cl)C=CC(NC(=O)NC2=CC=C(Cl)C=C2)=C1,"InChI=1S/C14H9Cl2F3N2O/c15-8-1-3-9(4-2-8)20-13(22)21-10-5-6-12(16)11(7-10)14(17,18)19/h1-7H,(H2,20,21,22)",C14H9Cl2F3N2O,349.13,348.0044028,26,29,41,2
