	stitch_flat	stitch_stereo	UMLS_label	type	meddra	se_name	pubchem_cid	ukb	ae
43088	CID100002771	CID000002771	C0314719	PT	C0314719	Dry eye	2771	Non-cancer illness code, self-reported: dry eyes	1
43150	CID100002771	CID000002771	C0702166	PT	C0702166	Acne	2771	Non-cancer illness code, self-reported: acne/acne vulgaris	1
43154	CID100002771	CID000002771	C0851578	PT	C0851578	Sleep disorder	2771	Diagnoses - main ICD10: G47 Sleep disorders	1
43158	CID100002771	CID000002771	C0917801	PT	C0917801	Insomnia	2771	Non-cancer illness code, self-reported: insomnia	1
43168	CID100002771	CID000002771	C1956346	PT	C1956346	Coronary artery disease	2771	Coronary Artery Disease	1
43170	CID100002771	CID000002771	C2225524	PT	C2225524	Breast enlargement	2771	Diagnoses - main ICD10: N62 Hypertrophy of breast	1
43233	CID100002771	CID000146570	C0003850	PT	C0003850	Arteriosclerosis	2771	Diagnoses - main ICD10: I70 Atherosclerosis	1
43288	CID100002771	CID000146570	C0007286	PT	C0007286	Carpal tunnel syndrome	2771	Carpal tunnel syndrome	1
43294	CID100002771	CID000146570	C0007859	PT	C0007859	Neck pain	2771	Cervicalgia	1
43300	CID100002771	CID000146570	C0008049	PT	C0008049	Varicella	2771	Non-cancer illness code, self-reported: chickenpox	1
43306	CID100002771	CID000146570	C0009324	PT	C0009324	Colitis ulcerative	2771	Inflammatory Bowel Disease	1
43351	CID100002771	CID000146570	C0011334	PT	C0011334	Dental caries	2771	Diagnoses - main ICD10: K02 Dental caries	1
43361	CID100002771	CID000146570	C0011630	PT	C0011630	Fungal skin infection	2771	Mycoses	1
43363	CID100002771	CID000146570	C0011849	PT	C0011849	Diabetes mellitus	2771	Non-cancer illness code, self-reported: diabetes	1
43429	CID100002771	CID000146570	C0015403	PT	C0015403	Eye infection	2771	Non-cancer illness code, self-reported: eye infection	1
43442	CID100002771	CID000146570	C0016053	PT	C0016053	Fibromyalgia	2771	Non-cancer illness code, self-reported: fibromyalgia	1
43478	CID100002771	CID000146570	C0018099	PT	C0018099	Gout	2771	Non-cancer illness code, self-reported: gout	1
43510	CID100002771	CID000146570	C0019270	PT	C0019270	Hernia	2771	Hernia	1
43514	CID100002771	CID000146570	C0019360	PT	C0019360	Herpes zoster	2771	Non-cancer illness code, self-reported: shingles	1
43520	CID100002771	CID000146570	C0020443	PT	C0020443	Hypercholesterolaemia	2771	Non-cancer illness code, self-reported: high cholesterol	1
43575	CID100002771	CID000146570	C0022104	PT	C0022104	Irritable bowel syndrome	2771	Non-cancer illness code, self-reported: irritable bowel syndrome	1
43578	CID100002771	CID000146570	C0022107	PT	C0022107	Irritability	2771	Irritability	1
43634	CID100002771	CID000146570	C0026848	PT	C0026848	Myopathy	2771	Disorders of muscles	1
43692	CID100002771	CID000146570	C0029878	PT	C0029878	Otitis externa	2771	Otitis externa	1
43760	CID100002771	CID000146570	C0035305	PT	C0035305	Retinal detachment	2771	Non-cancer illness code, self-reported: retinal detachment	1
43770	CID100002771	CID000146570	C0036396	PT	C0036396	Sciatica	2771	Non-cancer illness code, self-reported: sciatica	1
43796	CID100002771	CID000146570	C0037315	PT	C0037315	Sleep apnoea syndrome	2771	Sleep apnoea	1
43853	CID100002771	CID000146570	C0040409	PT	C0040409	Tongue disorder	2771	Diagnoses - main ICD10: K14 Diseases of tongue	1
43875	CID100002771	CID000146570	C0041296	PT	C0041296	Tuberculosis	2771	Non-cancer illness code, self-reported: tuberculosis (tb)	1
43898	CID100002771	CID000146570	C0042133	PT	C0042133	Uterine leiomyoma	2771	Diagnoses - main ICD10: D25 Leiomyoma of uterus	1
43903	CID100002771	CID000146570	C0042345	PT	C0042345	Varicose vein	2771	Non-cancer illness code, self-reported: varicose veins	1
44031	CID100002771	CID000146570	C0152029	PT	C0152029	Sinus congestion	2771	Non-cancer illness code, self-reported: nasal/sinus disorder	1
44088	CID100002771	CID000146570	C0232292	PT	C0235710	Chest discomfort	2771	Chest pain or discomfort	1
44247	CID100002771	CID000146570	C0267792	PT	C0267792	Hepatobiliary disease	2771	Diseases of liver	1
44293	CID100002771	CID000146570	C0344315	PT	C0344315	Depressed mood	2771	Non-cancer illness code, self-reported: depression	1
44457	CID100002771	CID000146570	C0700361	PT	C0700361	Emotional distress	2771	Non-cancer illness code, self-reported: stress	1
44461	CID100002771	CID000146570	C0701836	PT	C0701836	Thermal burn	2771	Non-cancer illness code, self-reported: burns	1
44511	CID100002771	CID000146570	C0917799	PT	C0917799	Hypersomnia	2771	Sleeping too much	1
44582	CID100002781	CID000026986	C0001824	PT	C0001824	Agranulocytosis	2781	Diagnoses - main ICD10: D70 Agranulocytosis	1
44593	CID100002781	CID000026986	C0009806	PT	C0009806	Constipation	2781	Non-cancer illness code, self-reported: constipation	1
44608	CID100002781	CID000026986	C0018681	PT	C0018681	Headache	2781	Diagnoses - main ICD10: R51 Headache	1
44610	CID100002781	CID000026986	C0020649	PT	C0020649	Hypotension	2781	Diagnoses - main ICD10: I95 Hypotension	1
44614	CID100002781	CID000026986	C0022107	PT	C0022107	Irritability	2781	Irritability	1
44616	CID100002781	CID000026986	C0022893	PT	C0022893	Labyrinthitis	2781	Labyrinthitis	1
44626	CID100002781	CID000026986	C0027813	PT	C0031117	Neuropathy peripheral	2781	Non-cancer illness code, self-reported: peripheral neuropathy	1
44636	CID100002781	CID000026986	C0040034	PT	C0040034	Thrombocytopenia	2781	Thrombocytopenia, unspecified	1
44644	CID100002781	CID000026986	C0042571	PT	C0042571	Vertigo	2781	Diagnoses - main ICD10: R42 Dizziness and giddiness	1
44650	CID100002781	CID000026986	C0080274	PT	C0080274	Urinary retention	2781	Diagnoses - main ICD10: R33 Retention of urine	1
44656	CID100002781	CID000026986	C0221490	PT	C0013395	Dyspepsia	2781	Diagnoses - main ICD10: K30 Dyspepsia	1
44658	CID100002781	CID000026986	C0232292	PT	C0235710	Chest discomfort	2781	Chest pain or discomfort	1
44670	CID100002781	CID000026986	C0917801	PT	C0917801	Insomnia	2781	Non-cancer illness code, self-reported: insomnia	1
44679	CID100002786	CID000029029	C0001824	PT	C0001824	Agranulocytosis	2786	Diagnoses - main ICD10: D70 Agranulocytosis	1
44681	CID100002786	CID000029029	C0002871	PT	C0002871	Anaemia	2786	Non-cancer illness code, self-reported: anaemia	1
44683	CID100002786	CID000029029	C0004604	PT	C0004604	Back pain	2786	Dorsalgia	1
44687	CID100002786	CID000029029	C0006840	PT	C0006840	Candida infection	2786	Diagnoses - main ICD10: B37 Candidiasis	1
44694	CID100002786	CID000029029	C0009806	PT	C0009806	Constipation	2786	Non-cancer illness code, self-reported: constipation	1
44702	CID100002786	CID000029029	C0011630	PT	C0011630	Fungal skin infection	2786	Mycoses	1
44710	CID100002786	CID000029029	C0013395	PT	C0013395	Dyspepsia	2786	Diagnoses - main ICD10: K30 Dyspepsia	1
44716	CID100002786	CID000029029	C0013428	PT	C0013428	Dysuria	2786	Diagnoses - main ICD10: R30 Pain associated with micturition	1
44720	CID100002786	CID000029029	C0014175	PT	C0014175	Endometriosis	2786	Diagnoses - main ICD10: N80 Endometriosis	1
44730	CID100002786	CID000029029	C0014868	PT	C0014868	Oesophagitis	2786	Diagnoses - main ICD10: K20 Oesophagitis	1
44732	CID100002786	CID000029029	C0015230	PT	C0015230	Rash	2786	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
44748	CID100002786	CID000029029	C0017178	PT	C0017178	Gastrointestinal disorder	2786	Non-cancer illness code, self-reported: stomach disorder	1
44752	CID100002786	CID000029029	C0018681	PT	C0018681	Headache	2786	Diagnoses - main ICD10: R51 Headache	1
44760	CID100002786	CID000029029	C0020538	PT	C0020538	Hypertension	2786	Non-cancer illness code, self-reported: hypertension	1
44764	CID100002786	CID000029029	C0020649	PT	C0020649	Hypotension	2786	Diagnoses - main ICD10: I95 Hypotension	1
44766	CID100002786	CID000029029	C0022346	PT	C0022346	Jaundice	2786	Diagnoses - main ICD10: R17 Unspecified jaundice	1
44780	CID100002786	CID000029029	C0026946	PT	C0026946	Fungal infection	2786	Mycoses	1
44784	CID100002786	CID000029029	C0027947	PT	C0027947	Neutropenia	2786	Diagnoses - main ICD10: D70 Agranulocytosis	1
44788	CID100002786	CID000029029	C0029485	PT	C0702166	Acne	2786	Non-cancer illness code, self-reported: acne/acne vulgaris	1
44790	CID100002786	CID000029029	C0030193	PT	C0030193	Pain	2786	Diagnoses - main ICD10: R52 Pain, not elsewhere classified	1
44799	CID100002786	CID000029029	C0033774	PT	C0033774	Pruritus	2786	Diagnoses - main ICD10: L29 Pruritus	1
44801	CID100002786	CID000029029	C0034186	PT	C0034186	Pyelonephritis	2786	Diagnoses - main ICD10: N12 Tubulo-interstitial nephritis, not specified as acute or chronic	1
44815	CID100002786	CID000029029	C0040034	PT	C0040034	Thrombocytopenia	2786	Thrombocytopenia, unspecified	1
44829	CID100002786	CID000029029	C0042109	PT	C0042109	Urticaria	2786	Non-cancer illness code, self-reported: urticaria	1
44834	CID100002786	CID000029029	C0042571	PT	C0042571	Vertigo	2786	Diagnoses - main ICD10: R42 Dizziness and giddiness	1
44853	CID100002786	CID000029029	C0151970	PT	C0151970	Oesophageal ulcer	2786	Ulcer of oesophagus	1
44979	CID100002789	CID000002789	C0002622	PT	C0002622	Amnesia	2789	Memory loss	1
44981	CID100002789	CID000002789	C0002871	PT	C0002871	Anaemia	2789	Non-cancer illness code, self-reported: anaemia	1
44989	CID100002789	CID000002789	C0004096	PT	C0004096	Asthma	2789	Non-cancer illness code, self-reported: asthma	1
44997	CID100002789	CID000002789	C0006277	PT	C0006277	Bronchitis	2789	Bronchitis	1
45004	CID100002789	CID000002789	C0009806	PT	C0009806	Constipation	2789	Non-cancer illness code, self-reported: constipation	1
45006	CID100002789	CID000002789	C0010200	PT	C0010200	Cough	2789	Diagnoses - main ICD10: R05 Cough	1
45011	CID100002789	CID000002789	C0011168	PT	C0011168	Dysphagia	2789	Diagnoses - main ICD10: R13 Dysphagia	1
45017	CID100002789	CID000002789	C0011570	PT	C0011570	Depression	2789	Non-cancer illness code, self-reported: depression	1
45029	CID100002789	CID000002789	C0013362	PT	C0029408	Osteoarthritis	2789	Non-cancer illness code, self-reported: osteoarthritis	1
45036	CID100002789	CID000002789	C0015230	PT	C0015230	Rash	2789	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
45046	CID100002789	CID000002789	C0017178	PT	C0017178	Gastrointestinal disorder	2789	Non-cancer illness code, self-reported: stomach disorder	1
45050	CID100002789	CID000002789	C0018681	PT	C0018681	Headache	2789	Diagnoses - main ICD10: R51 Headache	1
45056	CID100002789	CID000002789	C0020649	PT	C0020649	Hypotension	2789	Diagnoses - main ICD10: I95 Hypotension	1
45058	CID100002789	CID000002789	C0022107	PT	C0022107	Irritability	2789	Irritability	1
45066	CID100002789	CID000002789	C0027765	PT	C0027765	Nervous system disorder	2789	Diseases of the nervous system	1
45075	CID100002789	CID000002789	C0032285	PT	C0032285	Pneumonia	2789	Non-cancer illness code, self-reported: pneumonia	1
45077	CID100002789	CID000002789	C0033774	PT	C0033774	Pruritus	2789	Diagnoses - main ICD10: L29 Pruritus	1
45090	CID100002789	CID000002789	C0040034	PT	C0040034	Thrombocytopenia	2789	Thrombocytopenia, unspecified	1
45098	CID100002789	CID000002789	C0042109	PT	C0042109	Urticaria	2789	Non-cancer illness code, self-reported: urticaria	1
45125	CID100002789	CID000002789	C0231528	PT	C0231528	Myalgia	2789	Myalgia	1
45134	CID100002789	CID000002789	C0233795	PT	C0233795	Anterograde amnesia	2789	Memory loss	1
45147	CID100002789	CID000002789	C0278079	PT	C1510472	Drug dependence	2789	Substance abuse	1
45159	CID100002789	CID000002789	C0917801	PT	C0917801	Insomnia	2789	Non-cancer illness code, self-reported: insomnia	1
45185	CID100002791	CID000032798	C0018681	PT	C0018681	Headache	2791	Diagnoses - main ICD10: R51 Headache	1
45195	CID100002791	CID000032798	C0030193	PT	C0030193	Pain	2791	Diagnoses - main ICD10: R52 Pain, not elsewhere classified	1
45197	CID100002791	CID000032798	C0030196	PT	C0030196	Pain in extremity	2791	Pain in limb	1
45199	CID100002791	CID000032798	C0033774	PT	C0033774	Pruritus	2791	Diagnoses - main ICD10: L29 Pruritus	1
45207	CID100002791	CID000032798	C0035854	PT	C0035854	Rosacea	2791	Non-cancer illness code, self-reported: rosacea	1
45209	CID100002791	CID000032798	C0039446	PT	C0039446	Telangiectasia	2791	Non-cancer illness code, self-reported: peripheral vascular disease	1
45217	CID100002791	CID000032798	C0151514	PT	C0151514	Skin atrophy	2791	Atrophic disorders of skin	1
45241	CID100002791	CID000032798	C0235763	PT	C0033860	Psoriasis	2791	Non-cancer illness code, self-reported: psoriasis	1
45249	CID100002791	CID000032798	C0302295	PT	C0015230	Rash	2791	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
45289	CID100002792	CID000071386	C0015230	PT	C0015230	Rash	2792	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
45292	CID100002792	CID000071386	C0017601	PT	C0017601	Glaucoma	2792	Non-cancer illness code, self-reported: glaucoma	1
45302	CID100002792	CID000071386	C0020538	PT	C0020538	Hypertension	2792	Non-cancer illness code, self-reported: hypertension	1
45308	CID100002792	CID000071386	C0028754	PT	C0028754	Obesity	2792	Obesity	1
45312	CID100002792	CID000071386	C0029456	PT	C0029456	Osteoporosis	2792	Non-cancer illness code, self-reported: osteoporosis	1
45314	CID100002792	CID000071386	C0033774	PT	C0033774	Pruritus	2792	Diagnoses - main ICD10: L29 Pruritus	1
45316	CID100002792	CID000071386	C0035854	PT	C0035854	Rosacea	2792	Non-cancer illness code, self-reported: rosacea	1
45318	CID100002792	CID000071386	C0039446	PT	C0039446	Telangiectasia	2792	Non-cancer illness code, self-reported: peripheral vascular disease	1
45322	CID100002792	CID000071386	C0042109	PT	C0042109	Urticaria	2792	Non-cancer illness code, self-reported: urticaria	1
45326	CID100002792	CID000071386	C0086543	PT	C0086543	Cataract	2792	Non-cancer illness code, self-reported: cataract	1
45328	CID100002792	CID000071386	C0151514	PT	C0151514	Skin atrophy	2792	Atrophic disorders of skin	1
45350	CID100002794	CID000002794	C0002871	PT	C0002871	Anaemia	2794	Non-cancer illness code, self-reported: anaemia	1
45354	CID100002794	CID000002794	C0009806	PT	C0009806	Constipation	2794	Non-cancer illness code, self-reported: constipation	1
45357	CID100002794	CID000002794	C0010692	PT	C0010692	Cystitis	2794	Diagnoses - main ICD10: N30 Cystitis	1
45360	CID100002794	CID000002794	C0011570	PT	C0011570	Depression	2794	Non-cancer illness code, self-reported: depression	1
45376	CID100002794	CID000002794	C0015230	PT	C0015230	Rash	2794	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
45384	CID100002794	CID000002794	C0017181	PT	C0017181	Gastrointestinal haemorrhage	2794	GI-bleeding	1
45386	CID100002794	CID000002794	C0018681	PT	C0018681	Headache	2794	Diagnoses - main ICD10: R51 Headache	1
45388	CID100002794	CID000002794	C0019158	PT	C0019158	Hepatitis	2794	Non-cancer illness code, self-reported: hepatitis	1
45401	CID100002794	CID000002794	C0022346	PT	C0022346	Jaundice	2794	Diagnoses - main ICD10: R17 Unspecified jaundice	1
45407	CID100002794	CID000002794	C0033774	PT	C0033774	Pruritus	2794	Diagnoses - main ICD10: L29 Pruritus	1
45424	CID100002794	CID000002794	C0151825	PT	C0151825	Bone pain	2794	Non-cancer illness code, self-reported: joint pain	1
45459	CID100002800	CID001548952	C0003811	PT	C0003811	Arrhythmia	2800	Non-cancer illness code, self-reported: heart arrhythmia	1
45461	CID100002800	CID001548952	C0003862	PT	C0003862	Arthralgia	2800	Non-cancer illness code, self-reported: joint pain	1
45468	CID100002800	CID001548952	C0004604	PT	C0004604	Back pain	2800	Dorsalgia	1
45474	CID100002800	CID001548952	C0008031	PT	C0008031	Chest pain	2800	Chest pain or discomfort	1
45484	CID100002800	CID001548952	C0009806	PT	C0009806	Constipation	2800	Non-cancer illness code, self-reported: constipation	1
45502	CID100002800	CID001548952	C0013146	PT	C0013146	Drug abuse	2800	Substance abuse	1
45514	CID100002800	CID001548952	C0014175	PT	C0014175	Endometriosis	2800	Diagnoses - main ICD10: N80 Endometriosis	1
45520	CID100002800	CID001548952	C0015230	PT	C0015230	Rash	2800	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
45528	CID100002800	CID001548952	C0016033	PT	C0016034	Fibrocystic breast disease	2800	Diagnoses - main ICD10: N60 Benign mammary dysplasia	1
45534	CID100002800	CID001548952	C0018681	PT	C0018681	Headache	2800	Diagnoses - main ICD10: R51 Headache	1
45542	CID100002800	CID001548952	C0019158	PT	C0019158	Hepatitis	2800	Non-cancer illness code, self-reported: hepatitis	1
45548	CID100002800	CID001548952	C0019829	PT	C0019829	Hodgkin's disease	2800	Hodgkin lymphoma	1
45554	CID100002800	CID001548952	C0020538	PT	C0020538	Hypertension	2800	Non-cancer illness code, self-reported: hypertension	1
45561	CID100002800	CID001548952	C0022107	PT	C0022107	Irritability	2800	Irritability	1
45569	CID100002800	CID001548952	C0025202	PT	C0025202	Malignant melanoma	2800	Cancer code, self-reported: malignant melanoma	1
45585	CID100002800	CID001548952	C0027651	PT	C0027651	Neoplasm	2800	Neoplasms	1
45594	CID100002800	CID001548952	C0029925	PT	C1140680	Ovarian cancer	2800	Malignant neoplasm of ovary	1
45600	CID100002800	CID001548952	C0030305	PT	C0030305	Pancreatitis	2800	Non-cancer illness code, self-reported: pancreatitis	1
45604	CID100002800	CID001548952	C0031542	PT	C0031542	Phlebitis	2800	Diagnoses - main ICD10: I80 Phlebitis and thrombophlebitis	1
45614	CID100002800	CID001548952	C0033774	PT	C0033774	Pruritus	2800	Diagnoses - main ICD10: L29 Pruritus	1
45618	CID100002800	CID001548952	C0034065	PT	C0034065	Pulmonary embolism	2800	Diagnoses - main ICD10: I26 Pulmonary embolism	1
45626	CID100002800	CID001548952	C0038454	PT	C0038454	Cerebrovascular accident	2800	STROKE	1
45631	CID100002800	CID001548952	C0039070	PT	C0039070	Syncope	2800	Diagnoses - main ICD10: R55 Syncope and collapse	1
45653	CID100002800	CID001548952	C0042109	PT	C0042109	Urticaria	2800	Non-cancer illness code, self-reported: urticaria	1
45657	CID100002800	CID001548952	C0042571	PT	C0042571	Vertigo	2800	Diagnoses - main ICD10: R42 Dizziness and giddiness	1
45667	CID100002800	CID001548952	C0085633	PT	C0085633	Mood swings	2800	Mood swings	1
45674	CID100002800	CID001548952	C0086543	PT	C0086543	Cataract	2800	Non-cancer illness code, self-reported: cataract	1
45676	CID100002800	CID001548952	C0149931	PT	C0149931	Migraine	2800	Non-cancer illness code, self-reported: migraine	1
45692	CID100002800	CID001548952	C0231528	PT	C0231528	Myalgia	2800	Myalgia	1
45735	CID100002800	CID001548952	C0678222	PT	C0006142	Breast cancer	2800	Breast Cancer	1
45739	CID100002800	CID001548952	C0699885	PT	C0005684	Bladder cancer	2800	Diagnoses - main ICD10: C67 Malignant neoplasm of bladder	1
45741	CID100002800	CID001548952	C0702166	PT	C0702166	Acne	2800	Non-cancer illness code, self-reported: acne/acne vulgaris	1
45749	CID100002800	CID001548952	C0917801	PT	C0917801	Insomnia	2800	Non-cancer illness code, self-reported: insomnia	1
45763	CID100002800	CID001548952	C2239176	PT	C0345904	Hepatic cancer	2800	Malignant neoplasm of liver and intrahepatic bile ducts	1
45776	CID100002800	CID001548954	C0003962	PT	C0003962	Ascites	2800	Diagnoses - main ICD10: R18 Ascites	1
45828	CID100002800	CID001548954	C0019294	PT	C0019294	Inguinal hernia	2800	Diagnoses - main ICD10: K40 Inguinal hernia	1
45840	CID100002800	CID001548954	C0022346	PT	C0022346	Jaundice	2800	Diagnoses - main ICD10: R17 Unspecified jaundice	1
45843	CID100002800	CID001548954	C0023895	PT	C0023895	Liver disorder	2800	Diseases of liver	1
45850	CID100002800	CID001548954	C0026848	PT	C0026848	Myopathy	2800	Disorders of muscles	1
45863	CID100002800	CID001548954	C0030193	PT	C0030193	Pain	2800	Diagnoses - main ICD10: R52 Pain, not elsewhere classified	1
45974	CID100002801	CID000002801	C0001824	PT	C0001824	Agranulocytosis	2801	Diagnoses - main ICD10: D70 Agranulocytosis	1
45984	CID100002801	CID000002801	C0002871	PT	C0002871	Anaemia	2801	Non-cancer illness code, self-reported: anaemia	1
45998	CID100002801	CID000002801	C0003811	PT	C0003811	Arrhythmia	2801	Non-cancer illness code, self-reported: heart arrhythmia	1
46000	CID100002801	CID000002801	C0003862	PT	C0003862	Arthralgia	2801	Non-cancer illness code, self-reported: joint pain	1
46009	CID100002801	CID000002801	C0004604	PT	C0004604	Back pain	2801	Dorsalgia	1
46021	CID100002801	CID000002801	C0006277	PT	C0006277	Bronchitis	2801	Bronchitis	1
46029	CID100002801	CID000002801	C0007642	PT	C0007642	Cellulitis	2801	Diagnoses - main ICD10: L03 Cellulitis	1
46035	CID100002801	CID000002801	C0008031	PT	C0008031	Chest pain	2801	Chest pain or discomfort	1
46050	CID100002801	CID000002801	C0009806	PT	C0009806	Constipation	2801	Non-cancer illness code, self-reported: constipation	1
46054	CID100002801	CID000002801	C0010200	PT	C0010200	Cough	2801	Diagnoses - main ICD10: R05 Cough	1
46059	CID100002801	CID000002801	C0010692	PT	C0010692	Cystitis	2801	Diagnoses - main ICD10: N30 Cystitis	1
46066	CID100002801	CID000002801	C0011168	PT	C0011168	Dysphagia	2801	Diagnoses - main ICD10: R13 Dysphagia	1
46074	CID100002801	CID000002801	C0011334	PT	C0011334	Dental caries	2801	Diagnoses - main ICD10: K02 Dental caries	1
46078	CID100002801	CID000002801	C0011570	PT	C0011570	Depression	2801	Non-cancer illness code, self-reported: depression	1
46084	CID100002801	CID000002801	C0011849	PT	C0011849	Diabetes mellitus	2801	Non-cancer illness code, self-reported: diabetes	1
46102	CID100002801	CID000002801	C0013395	PT	C0013395	Dyspepsia	2801	Diagnoses - main ICD10: K30 Dyspepsia	1
46106	CID100002801	CID000002801	C0013428	PT	C0013428	Dysuria	2801	Diagnoses - main ICD10: R30 Pain associated with micturition	1
46110	CID100002801	CID000002801	C0013595	PT	C0013595	Eczema	2801	Eczema	1
46118	CID100002801	CID000002801	C0014175	PT	C0014175	Endometriosis	2801	Diagnoses - main ICD10: N80 Endometriosis	1
46130	CID100002801	CID000002801	C0014868	PT	C0014868	Oesophagitis	2801	Diagnoses - main ICD10: K20 Oesophagitis	1
46132	CID100002801	CID000002801	C0015230	PT	C0015230	Rash	2801	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
46153	CID100002801	CID000002801	C0016658	PT	C0016658	Fracture	2801	Non-cancer illness code, self-reported: bone disorder	1
46157	CID100002801	CID000002801	C0017168	PT	C0017168	Gastrooesophageal reflux disease	2801	Diagnoses - main ICD10: K21 Gastro-oesophageal reflux disease	1
46159	CID100002801	CID000002801	C0017178	PT	C0017178	Gastrointestinal disorder	2801	Non-cancer illness code, self-reported: stomach disorder	1
46161	CID100002801	CID000002801	C0017181	PT	C0017181	Gastrointestinal haemorrhage	2801	GI-bleeding	1
46167	CID100002801	CID000002801	C0017601	PT	C0017601	Glaucoma	2801	Non-cancer illness code, self-reported: glaucoma	1
46169	CID100002801	CID000002801	C0017605	PT	C0017605	Angle closure glaucoma	2801	Primary angle-closure glaucoma	1
46175	CID100002801	CID000002801	C0018021	PT	C0018021	Goitre	2801	Non-cancer illness code, self-reported: thyroid goitre	1
46177	CID100002801	CID000002801	C0018099	PT	C0018099	Gout	2801	Non-cancer illness code, self-reported: gout	1
46179	CID100002801	CID000002801	C0018418	PT	C0018418	Gynaecomastia	2801	Diagnoses - main ICD10: N62 Hypertrophy of breast	1
46185	CID100002801	CID000002801	C0018681	PT	C0018681	Headache	2801	Diagnoses - main ICD10: R51 Headache	1
46189	CID100002801	CID000002801	C0018794	PT	C0004245	Atrioventricular block	2801	AV-block	1
46193	CID100002801	CID000002801	C0018801	PT	C0018801	Cardiac failure	2801	Heart failure	1
46195	CID100002801	CID000002801	C0018802	PT	C0018802	Cardiac failure congestive	2801	Heart failure	1
46197	CID100002801	CID000002801	C0018965	PT	C0018965	Haematuria	2801	Diagnoses - main ICD10: R31 Unspecified haematuria	1
46203	CID100002801	CID000002801	C0019112	PT	C0019112	Haemorrhoids	2801	Diagnoses - main ICD10: I84 Haemorrhoids	1
46205	CID100002801	CID000002801	C0019158	PT	C0019158	Hepatitis	2801	Non-cancer illness code, self-reported: hepatitis	1
46211	CID100002801	CID000002801	C0020443	PT	C0020443	Hypercholesterolaemia	2801	Non-cancer illness code, self-reported: high cholesterol	1
46221	CID100002801	CID000002801	C0020538	PT	C0020538	Hypertension	2801	Non-cancer illness code, self-reported: hypertension	1
46235	CID100002801	CID000002801	C0020649	PT	C0020649	Hypotension	2801	Diagnoses - main ICD10: I95 Hypotension	1
46249	CID100002801	CID000002801	C0022104	PT	C0022104	Irritable bowel syndrome	2801	Non-cancer illness code, self-reported: irritable bowel syndrome	1
46252	CID100002801	CID000002801	C0022107	PT	C0022107	Irritability	2801	Irritability	1
46254	CID100002801	CID000002801	C0022346	PT	C0022346	Jaundice	2801	Diagnoses - main ICD10: R17 Unspecified jaundice	1
46256	CID100002801	CID000002801	C0022408	PT	C0029408	Osteoarthritis	2801	Non-cancer illness code, self-reported: osteoarthritis	1
46257	CID100002801	CID000002801	C0022408	PT	C0022408	Arthropathy	2801	#Arthrosis	1
46265	CID100002801	CID000002801	C0023066	PT	C0023066	Laryngospasm	2801	Non-cancer illness code, self-reported: asthma	1
46287	CID100002801	CID000002801	C0026848	PT	C0026848	Myopathy	2801	Disorders of muscles	1
46293	CID100002801	CID000002801	C0027051	PT	C0027051	Myocardial infarction	2801	Myocardial infarction	1
46302	CID100002801	CID000002801	C0027765	PT	C0027765	Nervous system disorder	2801	Diseases of the nervous system	1
46323	CID100002801	CID000002801	C0029882	PT	C0029882	Otitis media	2801	Otitis media, unspecified	1
46327	CID100002801	CID000002801	C0030193	PT	C0030193	Pain	2801	Diagnoses - main ICD10: R52 Pain, not elsewhere classified	1
46344	CID100002801	CID000002801	C0030567	PT	C0030567	Parkinson's disease	2801	Non-cancer illness code, self-reported: parkinsons disease	1
46346	CID100002801	CID000002801	C0030920	PT	C0030920	Peptic ulcer	2801	Gastroduodenal ulcer	1
46350	CID100002801	CID000002801	C0031117	PT	C0031117	Neuropathy peripheral	2801	Non-cancer illness code, self-reported: peripheral neuropathy	1
46356	CID100002801	CID000002801	C0032285	PT	C0032285	Pneumonia	2801	Non-cancer illness code, self-reported: pneumonia	1
46358	CID100002801	CID000002801	C0032617	PT	C0032617	Polyuria	2801	Diagnoses - main ICD10: R35 Polyuria	1
46365	CID100002801	CID000002801	C0033774	PT	C0033774	Pruritus	2801	Diagnoses - main ICD10: L29 Pruritus	1
46369	CID100002801	CID000002801	C0033860	PT	C0033860	Psoriasis	2801	Non-cancer illness code, self-reported: psoriasis	1
46378	CID100002801	CID000002801	C0034186	PT	C0034186	Pyelonephritis	2801	Diagnoses - main ICD10: N12 Tubulo-interstitial nephritis, not specified as acute or chronic	1
46400	CID100002801	CID000002801	C0037199	PT	C0037199	Sinusitis	2801	Diagnoses - main ICD10: J32 Chronic sinusitis	1
46404	CID100002801	CID000002801	C0037317	PT	C0851578	Sleep disorder	2801	Diagnoses - main ICD10: G47 Sleep disorders	1
46413	CID100002801	CID000002801	C0038358	PT	C0038358	Gastric ulcer	2801	Diagnoses - main ICD10: K25 Gastric ulcer	1
46417	CID100002801	CID000002801	C0038454	PT	C0038454	Cerebrovascular accident	2801	STROKE	1
46430	CID100002801	CID000002801	C0039070	PT	C0039070	Syncope	2801	Diagnoses - main ICD10: R55 Syncope and collapse	1
